INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
829 WILLOUGHBY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015890053,2/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1002180,192663,40.695474,-73.935341,11206,287,3042953,Stuyvesant Heights,"(40.695474, -73.935341)"
35-25 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,26,4003390008,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1002981,215904,40.759264,-73.932387,11106,47,4004007,Astoria,"(40.759264, -73.932387)"
8722 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080080041,2/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009337,172620,40.640443,-73.909606,11236,958,3224593,Canarsie,"(40.640443, -73.909606)"
436 WEST   46 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010550011,2/5/2018,Open,Site downloaded for cleaning,,986428,216733,40.761558,-73.992138,10036,121,1026441,Clinton,"(40.761558, -73.992138)"
499 EAST   23 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,40,3052240158,2/5/2018,Closed,Graffiti is intentional.,2/7/2018,996537,171668,40.637857,-73.955729,11226,51601,3253131,Flatbush,"(40.637857, -73.955729)"
199 LINCOLN ROAD,BROOKLYN,09 BROOKLYN,Precinct 71,40,3013280081,2/2/2018,Open,Site downloaded for cleaning,,996499,180193,40.661257,-73.95585,11225,800,3035317,Prospect Lefferts Gardens-Wingate,"(40.661257, -73.95585)"
886 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046050003,2/2/2018,Open,Site to be cleaned.,,1003671,179984,40.66067,-73.93,11203,878,3099660,Prospect Lefferts Gardens-Wingate,"(40.66067, -73.93)"
2405 EAST TREMONT AVENUE,BRONX,11 BRONX,Precinct 49,13,2040630017,1/31/2018,Open,Site to be cleaned.,,1024902,246260,40.842509,-73.853076,10461,256,2043914,Van Nest-Morris Park-Westchester Square,"(40.842509, -73.853076)"
4121 1 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007160001,1/31/2018,Open,Site downloaded for cleaning,,980349,178021,40.655303,-74.014059,11232,2,3010631,Sunset Park West,"(40.655303, -74.014059)"
630 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022670015,1/31/2018,Open,Site downloaded for cleaning,,999278,195383,40.702945,-73.9458,11206,507,3061437,Bedford,"(40.702945, -73.9458)"
2522 CLARENDON ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,,1/30/2018,Open,Property Research Required,,997219,173526,40.642956,-73.953268,11226,790,,Erasmus,"(40.642956, -73.953268)"
7204 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,3061910036,1/30/2018,Open,Site to be cleaned.,,984441,164460,40.618081,-73.999312,11228,190,3158361,Bensonhurst West,"(40.618081, -73.999312)"
169-04 ROCKAWAY POINT BOULEVARD,QUEENS,84 QUEENS,Precinct 100,32,4163400001,1/28/2018,Open,Site to be cleaned.,,1016654,146034,40.567447,-73.883368,11697,91601,4540192,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.567447, -73.883368)"
8409 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060270006,1/27/2018,Open,Site downloaded for cleaning,,977199,166147,40.622709,-74.0254,11209,142,3152851,Bay Ridge,"(40.622709, -74.0254)"
120 AVENUE M,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065640001,1/26/2018,Open,Site downloaded for cleaning,,991434,163866,40.616448,-73.974124,11230,446,3172653,Borough Park,"(40.616448, -73.974124)"
360 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018200009,1/25/2018,Open,Site downloaded for cleaning,,999804,189292,40.686226,-73.943917,11221,265,3322346,Bedford,"(40.686226, -73.943917)"
574 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050430055,1/25/2018,Open,Site downloaded for cleaning,,997222,178946,40.657833,-73.953247,11225,802,3115576,Prospect Lefferts Gardens-Wingate,"(40.657833, -73.953247)"
636 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050560047,1/25/2018,Open,Site downloaded for cleaning,,997277,178262,40.655955,-73.95305,11226,822,3116010,Prospect Lefferts Gardens-Wingate,"(40.655955, -73.95305)"
10 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002970001,1/25/2018,Open,Site downloaded for cleaning,,986766,199792,40.71506,-73.990924,10002,16,1003806,Chinatown,"(40.71506, -73.990924)"
546 MC DONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053520032,1/24/2018,Open,Site downloaded for cleaning,,990039,172897,40.641237,-73.979141,11218,486,3125174,Kensington-Ocean Parkway,"(40.641237, -73.979141)"
1151 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041820062,1/24/2018,Open,Site to be cleaned.,,1021185,186590,40.678746,-73.866838,11208,1188,3094044,Cypress Hills-City Line,"(40.678746, -73.866838)"
9715 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061260006,1/23/2018,Open,Site to be cleaned.,,974737,163553,40.615587,-74.034265,11209,5601,3155832,Bay Ridge,"(40.615587, -74.034265)"
666 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021140015,1/22/2018,Open,Site downloaded for cleaning,,991102,189444,40.686654,-73.975294,11217,35,3059272,Fort Greene,"(40.686654, -73.975294)"
518 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,17,2022930001,1/22/2018,Open,Site downloaded for cleaning,,1006897,236382,40.815475,-73.918158,10455,43,2093994,Mott Haven-Port Morris,"(40.815475, -73.918158)"
106 IRVING PLACE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,1/20/2018,Open,Property Research Required,,,,,,,,,,
56-03 COOPER AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4035420070,1/18/2018,Open,Site downloaded for cleaning,,1011426,191755,40.692959,-73.902001,11385,559,4437775,Ridgewood,"(40.692959, -73.902001)"
485 PACIFIC STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001850039,1/17/2018,Open,Site downloaded for cleaning,,989265,188842,40.685003,-73.981918,11217,39,3000987,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.685003, -73.981918)"
1848 CROSS BRONX EXPRESSWAY,BRONX,09 BRONX,Precinct 43,18,2038790031,1/13/2018,Open,Site downloaded for cleaning,,1021757,243198,40.834118,-73.86446,10472,76,2099987,West Farms-Bronx River,"(40.834118, -73.86446)"
3700 RIVERDALE AVENUE,BRONX,08 BRONX,Precinct 50,11,2057720001,1/12/2018,Open,Site downloaded for cleaning,,1009955,262337,40.886691,-73.907036,10463,295,2083997,Spuyten Duyvil-Kingsbridge,"(40.886691, -73.907036)"
101 pitt street,MANHATTAN,03 MANHATTAN,Unspecified,,,1/9/2018,Open,Property Research Required,,,,40.719019,-73.982147,10002,2201,,Lower East Side,"(40.719019, -73.982147)"
110-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4094120052,1/9/2018,Open,Site downloaded for cleaning,,1030369,189895,40.687775,-73.833704,11419,118,4197960,Richmond Hill,"(40.687775, -73.833704)"
1136 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031670006,1/9/2018,Open,Site downloaded for cleaning,,1004752,196392,40.705704,-73.926054,11237,447,3251860,Bushwick North,"(40.705704, -73.926054)"
29-07 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4005880006,3/14/2018,Open,Site to be cleaned.,,1004520,217143,40.762661,-73.926828,11106,75,4007471,Astoria,"(40.762661, -73.926828)"
487 WASHINGTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019790007,3/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993981,188394,40.68377,-73.964914,11238,201,3056650,Clinton Hill,"(40.68377, -73.964914)"
560 MADISON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016440039,3/7/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001952,189346,40.68637,-73.936172,11221,277,3045086,Stuyvesant Heights,"(40.68637, -73.936172)"
74-02 64 PLACE,QUEENS,05 QUEENS,Precinct 104,30,4035970007,3/5/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1014363,194325,40.700003,-73.891399,11385,577,4087021,Glendale,"(40.700003, -73.891399)"
23 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1008370028,3/5/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988376,212356,40.749544,-73.985109,10001,84,1015894,Midtown-Midtown South,"(40.749544, -73.985109)"
5720 1 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008270012,3/3/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,977757,174756,40.646339,-74.023398,11220,18,3014854,Sunset Park West,"(40.646339, -74.023398)"
5420 FT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056730053,3/2/2018,Open,Site to be cleaned.,,983848,170933,40.635848,-74.001448,11219,116,3139215,Borough Park,"(40.635848, -74.001448)"
227 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031870005,2/28/2018,Open,Site to be cleaned.,,1004828,195423,40.703044,-73.925783,11237,427,3072539,Bushwick North,"(40.703044, -73.925783)"
49 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,2,1003860007,2/26/2018,Open,Site downloaded for cleaning,,989057,202713,40.723076,-73.982658,10009,2601,1076880,Lower East Side,"(40.723076, -73.982658)"
235 RIDGEWOOD AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039150016,2/25/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1017528,188354,40.683603,-73.880014,11208,1174,3328211,Cypress Hills-City Line,"(40.683603, -73.880014)"
83-10 ASTORIA BOULEVARD,QUEENS,03 QUEENS,Precinct 115,22,4010950016,2/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1015857,217937,40.764807,-73.8859,11370,329,4023992,Jackson Heights,"(40.764807, -73.8859)"
24-19 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008670063,2/23/2018,Open,Site downloaded for cleaning,,1007208,222498,40.777352,-73.917107,11105,101,4018960,Steinway,"(40.777352, -73.917107)"
870 HUNTS POINT AVENUE,BRONX,02 BRONX,Precinct 41,17,2027610001,2/23/2018,Open,Site downloaded for cleaning,,1014909,237583,40.818744,-73.88924,10474,11502,2006318,Hunts Point,"(40.818744, -73.88924)"
237 ELDERT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034120001,2/22/2018,Open,Site downloaded for cleaning,,1009610,191162,40.691336,-73.908552,11207,437,3078857,Bushwick North,"(40.691336, -73.908552)"
177 WEST  161 STREET,BRONX,04 BRONX,Precinct 44,8,2025240109,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1003391,241903,40.830623,-73.930833,10452,189,2113011,Highbridge,"(40.830623, -73.930833)"
9215 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061030104,2/19/2018,Open,Site downloaded for cleaning,,975150,164882,40.619235,-74.032779,11209,58,3155133,Bay Ridge,"(40.619235, -74.032779)"
18-37 EVERDELL AVENUE,QUEENS,14 QUEENS,Precinct 101,31,4155670010,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1053393,158325,40.600972,-73.751009,11691,101001,4534299,Far Rockaway-Bayswater,"(40.600972, -73.751009)"
97-50 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4030840020,2/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1023499,204780,40.728664,-73.858389,11374,69701,4072143,Rego Park,"(40.728664, -73.858389)"
1161 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4,1014160021,2/9/2018,Open,Site downloaded for cleaning,,994398,216880,40.761956,-73.963368,10065,110,1043794,Lenox Hill-Roosevelt Island,"(40.761956, -73.963368)"
598 PRESIDENT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009580017,2/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989059,185727,40.676453,-73.982663,11215,133,3341407,Park Slope-Gowanus,"(40.676453, -73.982663)"
299 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3027630024,2/7/2018,Open,Site downloaded for cleaning,,999212,199435,40.714067,-73.946029,11211,503,3342111,East Williamsburg,"(40.714067, -73.946029)"
251 WEST  154 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9,1020400007,2/2/2018,Open,Site to be cleaned.,,1001746,240975,40.828079,-73.93678,10039,236,1060630,Central Harlem North-Polo Grounds,"(40.828079, -73.93678)"
777 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050640003,2/2/2018,Open,Site downloaded for cleaning,,995487,177510,40.653894,-73.959502,11226,79602,3116181,Prospect Lefferts Gardens-Wingate,"(40.653894, -73.959502)"
50-30 71 STREET,QUEENS,02 QUEENS,Precinct 108,30,4024400001,2/1/2018,Open,Site downloaded for cleaning,,1013831,207685,40.736675,-73.893259,11377,489,4056396,Elmhurst-Maspeth,"(40.736675, -73.893259)"
391 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066540036,1/31/2018,Open,Site to be cleaned.,,991020,159543,40.604583,-73.975619,11223,412,3177016,Bensonhurst East,"(40.604583, -73.975619)"
19-28 75 STREET,QUEENS,01 QUEENS,Precinct 114,22,4009420051,1/30/2018,Open,Site to be cleaned.,,1013360,220362,40.771471,-73.894903,11370,317,4020727,Steinway,"(40.771471, -73.894903)"
62 WEST FORDHAM ROAD,BRONX,07 BRONX,Precinct 52,14,2032120072,1/29/2018,Open,Site downloaded for cleaning,,1010867,253608,40.86273,-73.903772,10468,253,2014615,Kingsbridge Heights,"(40.86273, -73.903772)"
50 LEXINGTON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019690042,1/27/2018,Open,Site to be cleaned.,,995243,189419,40.686582,-73.960362,11238,231,3056380,Clinton Hill,"(40.686582, -73.960362)"
95-01 ROOSEVELT AVENUE,QUEENS,03 QUEENS,Precinct 115,21,4014830057,1/27/2018,Open,Site to be cleaned.,,1019780,212155,40.748922,-73.871769,11372,273,4036631,Jackson Heights,"(40.748922, -73.871769)"
933 AVENUE ST JOHN,BRONX,02 BRONX,Precinct 41,17,2026860005,1/27/2018,Open,Site to be cleaned.,,1011178,236403,40.815507,-73.902717,10455,83,2005122,Longwood,"(40.815507, -73.902717)"
706 FAILE STREET,BRONX,02 BRONX,Precinct 41,17,2027630185,1/27/2018,Open,Site downloaded for cleaning,,1015668,236089,40.81471,-73.886522,10474,93,2006547,Hunts Point,"(40.81471, -73.886522)"
140 JOHNSON AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030700010,1/25/2018,Open,Site downloaded for cleaning,,999730,196675,40.706491,-73.944167,11206,505,3347565,East Williamsburg,"(40.706491, -73.944167)"
1173 ST JOHNS PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012510040,1/25/2018,Open,Site downloaded for cleaning,,1001005,183768,40.671062,-73.9396,11213,339,3032080,Crown Heights North,"(40.671062, -73.9396)"
310 CORTELYOU ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053870001,1/24/2018,Open,Site downloaded for cleaning,,990853,171784,40.638182,-73.976209,11218,490,3126675,Kensington-Ocean Parkway,"(40.638182, -73.976209)"
2741 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042150001,1/24/2018,Open,Site downloaded for cleaning,,1020072,185429,40.675564,-73.870857,11208,1196,3094700,East New York,"(40.675564, -73.870857)"
218 COVERT STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034240007,1/23/2018,Open,Site downloaded for cleaning,,1009814,190990,40.690864,-73.907817,11207,409,3079299,Bushwick North,"(40.690864, -73.907817)"
22-03 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008840007,1/22/2018,Open,Site to be cleaned.,,1005021,220523,40.771937,-73.925009,11102,69,4431127,Old Astoria,"(40.771937, -73.925009)"
40 WEST   31 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1008320066,1/22/2018,Open,Site downloaded for cleaning,,987649,211532,40.747283,-73.987733,10001,76,1078654,Midtown-Midtown South,"(40.747283, -73.987733)"
48 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002977502,1/18/2018,Open,Site downloaded for cleaning,,986944,200026,40.715702,-73.990282,10002,16,1075619,Chinatown,"(40.715702, -73.990282)"
7519 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059400003,1/17/2018,Open,Site downloaded for cleaning,,976517,169264,40.631264,-74.02786,11209,66,3148707,Bay Ridge,"(40.631264, -74.02786)"
154 7 AVENUE SOUTH,MANHATTAN,02 MANHATTAN,Precinct 6,3,1006120029,1/17/2018,Open,Site downloaded for cleaning,,983723,207130,40.735201,-74.001902,10014,73,1010874,West Village,"(40.735201, -74.001902)"
5505 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008320007,1/16/2018,Open,Site downloaded for cleaning,,980551,173248,40.642202,-74.013329,11220,100,3015007,Sunset Park East,"(40.642202, -74.013329)"
155-23 JEWEL AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4067920030,1/12/2018,Open,Public Property (Non-City),,1036241,206086,40.732183,-73.812406,11367,122702,4455429,Pomonok-Flushing Heights-Hillcrest,"(40.732183, -73.812406)"
1123 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015840039,1/11/2018,Open,Site downloaded for cleaning,,1001845,193161,40.696842,-73.936547,11206,287,3042879,Stuyvesant Heights,"(40.696842, -73.936547)"
156 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002830069,1/10/2018,Open,Site downloaded for cleaning,,986860,199416,40.714028,-73.990585,10002,6,1003596,Lower East Side,"(40.714028, -73.990585)"
158 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004780038,1/10/2018,Open,Site downloaded for cleaning,,985832,201498,40.719742,-73.994293,10012,41,1007153,SoHo-TriBeCa-Civic Center-Little Italy,"(40.719742, -73.994293)"
71 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1004087501,1/9/2018,Open,Site downloaded for cleaning,,987104,200671,40.717472,-73.989704,10002,18,1079689,Chinatown,"(40.717472, -73.989704)"
88-47 213 STREET,QUEENS,13 QUEENS,Precinct 105,23,4106710001,1/9/2018,Open,Site downloaded for cleaning,,1053012,203515,40.725011,-73.75192,11427,552,4228643,Queens Village,"(40.725011, -73.75192)"
450 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,15,2029090010,1/8/2018,Open,Site downloaded for cleaning,,1012245,247941,40.847172,-73.898814,10457,395,2009532,Claremont-Bathgate,"(40.847172, -73.898814)"
44 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002970016,3/13/2018,Open,Site to be cleaned.,,986988,200009,40.715655,-73.990123,10002,16,1003811,Chinatown,"(40.715655, -73.990123)"
41-06 JUNCTION BOULEVARD,QUEENS,04 QUEENS,Precinct 110,21,4015980008,3/12/2018,Open,Site to be cleaned.,,1020685,211593,40.747376,-73.868505,11368,465,4039895,Elmhurst,"(40.747376, -73.868505)"
629 CLASSON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011260001,3/11/2018,Open,Site to be cleaned.,,995755,186713,40.679154,-73.958521,11238,305,3027566,Crown Heights North,"(40.679154, -73.958521)"
35 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002970036,3/9/2018,Open,Site to be cleaned.,,986740,199641,40.714645,-73.991018,10002,16,1003825,Chinatown,"(40.714645, -73.991018)"
1932 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 81,41,3017040037,3/9/2018,Open,Site to be cleaned.,,1005947,186617,40.678871,-73.921776,11233,299,3338117,Crown Heights North,"(40.678871, -73.921776)"
1017 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019910008,3/8/2018,Open,Site to be cleaned.,,994995,187863,40.682311,-73.961259,11238,227,3057233,Clinton Hill,"(40.682311, -73.961259)"
4611 1 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007350001,2/27/2018,Open,Site downloaded for cleaning,,979526,176977,40.652437,-74.017025,11232,18,3341607,Sunset Park West,"(40.652437, -74.017025)"
196 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,1,1005230044,2/26/2018,Open,Site downloaded for cleaning,,985066,203938,40.72644,-73.997056,10012,5501,1008237,West Village,"(40.72644, -73.997056)"
6301 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058100010,2/25/2018,Open,Site downloaded for cleaning,,979251,171605,40.637692,-74.018012,11220,122,3144123,Sunset Park West,"(40.637692, -74.018012)"
154-01 64 AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4067440170,2/22/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1035647,208175,40.73792,-73.814534,11367,122702,4146681,Pomonok-Flushing Heights-Hillcrest,"(40.73792, -73.814534)"
38-13 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008070066,2/19/2018,Open,Site to be cleaned.,,1010101,221022,40.773293,-73.906667,11105,121,4015984,Steinway,"(40.773293, -73.906667)"
25 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1008370027,2/19/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988361,212364,40.749566,-73.985163,10001,84,1015893,Midtown-Midtown South,"(40.749566, -73.985163)"
323 EAST   61 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,1014360113,2/16/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994720,216660,40.761352,-73.962206,10065,110,1088774,Lenox Hill-Roosevelt Island,"(40.761352, -73.962206)"
321 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,1014370007,2/16/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994696,216973,40.762211,-73.962292,10065,110,1044361,Lenox Hill-Roosevelt Island,"(40.762211, -73.962292)"
3rd 3rd ave,BROOKLYN,01 BROOKLYN,Unspecified,,,2/15/2018,Open,Property Research Required,,,,,,,,,,
482 FRANKLIN AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,35,3019970028,2/15/2018,Open,Site downloaded for cleaning,,996483,187817,40.682183,-73.955894,11238,227,3420463,Clinton Hill,"(40.682183, -73.955894)"
2401 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073290055,2/12/2018,Open,Site downloaded for cleaning,,998843,157814,,,,,,,
10-30 44 DRIVE,QUEENS,02 QUEENS,Precinct 108,26,4000510033,2/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,997852,212082,,,,,,,
158 BEACH  149 STREET,QUEENS,14 QUEENS,Precinct 100,32,,2/8/2018,Open,Property Research Required,,1022203,146299,40.568152,-73.863394,11694,922,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.568152, -73.863394)"
858 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029160025,2/3/2018,Open,Site downloaded for cleaning,,1000848,199648,40.714649,-73.940127,11211,481,3070339,East Williamsburg,"(40.714649, -73.940127)"
779 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050640001,2/2/2018,Open,Site to be cleaned.,,995489,177495,40.653853,-73.959495,11226,79602,3328167,Prospect Lefferts Gardens-Wingate,"(40.653853, -73.959495)"
2501 EAST   15 STREET,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074360001,1/31/2018,Open,Site to be cleaned.,,996838,154149,40.589771,-73.954677,11235,590,3411270,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.589771, -73.954677)"
1666 bath gate,BRONX,01 BRONX,Unspecified,,,1/31/2018,Open,Property Research Required,,,,,,,,,,
6222 18 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3055320046,1/31/2018,Open,Site downloaded for cleaning,,987414,165415,40.620702,-73.988603,11204,248,3132768,Bensonhurst West,"(40.620702, -73.988603)"
569 SACKETT STREET,BROOKLYN,06 BROOKLYN,Precinct 78,33,3004260044,1/28/2018,Open,Site to be cleaned.,,988199,186759,40.679286,-73.985763,11217,119,3395581,Park Slope-Gowanus,"(40.679286, -73.985763)"
166 EAST  135 STREET,BRONX,01 BRONX,Precinct 40,8,,1/26/2018,Open,Property Research Required,,1003089,234846,40.811254,-73.931944,10451,51,,Mott Haven-Port Morris,"(40.811254, -73.931944)"
523 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050360001,1/26/2018,Open,Site downloaded for cleaning,,997183,179493,40.659334,-73.953386,11225,800,3115222,Prospect Lefferts Gardens-Wingate,"(40.659334, -73.953386)"
25 EAST    3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004590037,1/25/2018,Open,Site to be cleaned.,,986876,203730,40.725868,-73.990526,10003,38,1077974,East Village,"(40.725868, -73.990526)"
648 ROGERS AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050560053,1/25/2018,Open,Site to be cleaned.,,997285,178171,40.655706,-73.953021,11226,822,3116016,Prospect Lefferts Gardens-Wingate,"(40.655706, -73.953021)"
68 EAST    3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004440022,1/25/2018,Open,Site downloaded for cleaning,,987378,203444,40.725083,-73.988715,10003,3602,1006125,East Village,"(40.725083, -73.988715)"
PARK AVENUE,BRONX,01 BRONX,Unspecified,,,1/24/2018,Open,Property Research Required,,,,,,,,,,
502 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053520014,1/24/2018,Open,Site downloaded for cleaning,,989996,173175,40.642,-73.979295,11218,486,3125158,Kensington-Ocean Parkway,"(40.642, -73.979295)"
2754 PITKIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042340017,1/24/2018,Open,Site to be cleaned.,,1020170,185442,40.6756,-73.870504,11208,1196,3095110,East New York,"(40.6756, -73.870504)"
493 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053530185,1/24/2018,Open,Site downloaded for cleaning,,989998,173206,40.642086,-73.979288,11218,486,3125305,Kensington-Ocean Parkway,"(40.642086, -73.979288)"
1134 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042020016,1/24/2018,Open,Site to be cleaned.,,1020998,186547,40.678629,-73.867513,11208,1188,3094395,Cypress Hills-City Line,"(40.678629, -73.867513)"
245-20 MERRICK BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4132090061,1/22/2018,Open,Site downloaded for cleaning,,1059629,185012,40.674171,-73.728254,11422,638,4284061,Rosedale,"(40.674171, -73.728254)"
